"2018-05-06";"YVCDN-0017";"Vocal";"MARKS OF SIN";"0";"";""
"2018-05-06";"YVCDN-0017";"Vocal";"MARKS OF SIN";"1";"Marks of Sin";"RD-Sounds"
"2018-05-06";"YVCDN-0017";"Vocal";"MARKS OF SIN";"2";"地の底のラプンツェル";"十二月夜，Zris"
"2018-05-06";"YVCDN-0017";"Vocal";"MARKS OF SIN";"3";"falling silver snow";"風霊狼"
"2018-05-06";"YVCDN-0017";"Vocal";"MARKS OF SIN";"4";"花曇、春の扉。";"cnsouka"
"2018-05-06";"YVCDN-0017";"Vocal";"MARKS OF SIN";"5";"夜明け川";"最愛草苺汁"
"2018-05-06";"YVCDN-0017";"Vocal";"MARKS OF SIN";"6";"Bird's Letter";"yato"
