"2010-12-30";"BFCD-0003";"Metalcore";"permutation suicide";"0";"";""
"2010-12-30";"BFCD-0003";"Metalcore";"permutation suicide";"1";"Darkness Falls";"warinside"
"2010-12-30";"BFCD-0003";"Metalcore";"permutation suicide";"2";"Border Of Life";"warinside"
"2010-12-30";"BFCD-0003";"Metalcore";"permutation suicide";"3";"A Far East Fantasy";"warinside"
"2010-12-30";"BFCD-0003";"Metalcore";"permutation suicide";"4";"Flowering Game Night";"warinside"
"2010-12-30";"BFCD-0003";"Metalcore";"permutation suicide";"5";"Dark Road";"warinside"
"2010-12-30";"BFCD-0003";"Metalcore";"permutation suicide";"6";"interlude";"warinside"
"2010-12-30";"BFCD-0003";"Metalcore";"permutation suicide";"7";"Retrospective City";"warinside"
"2010-12-30";"BFCD-0003";"Metalcore";"permutation suicide";"8";"Wriggle.";"warinside"
